IP,Protocol,Attack Type,DateTime,Interactions,Port,Severity,Response Time,Packet Size,Origin Country,Detected By
192.168.1.1,ICMP,DDoS,2025-02-12 10:46:52,313,0,Critical,1503,1227,Japan,IPS
172.16.5.3,ICMP,DDoS,2025-02-12 10:46:52,433,0,Critical,971,1409,Canada,IPS
172.20.30.40,FTP,Brute Force,2025-02-12 10:46:52,109,21,High,49,494,Canada,Firewall
203.0.113.4,HTTPS,Zero-Day,2025-02-12 10:46:52,21,443,Critical,673,1175,Germany,SIEM
203.0.113.4,SSH,Unauthorized Access,2025-02-12 10:46:52,120,22,High,190,451,UK,Firewall
172.16.5.3,ICMP,Ping Flood,2025-02-12 10:46:52,167,0,Medium,116,1166,Canada,IPS
172.20.30.40,DNS,DNS Spoofing,2025-02-12 10:46:52,47,53,Medium,179,534,Canada,IDS
172.16.5.3,HTTP,SQL Injection,2025-02-12 10:46:52,81,80,High,117,624,India,SIEM
192.0.2.6,UDP,Malware,2025-02-12 10:46:52,57,68,High,115,896,Canada,Antivirus
203.0.113.4,TCP,Port Scanning,2025-02-12 10:46:52,94,443,Medium,70,276,Japan,IDS
192.168.1.1,TCP,Port Scanning,2025-02-12 10:46:52,71,21,Medium,55,376,Canada,IDS
198.51.100.5,UDP,DDoS,2025-02-12 10:46:52,180,67,Critical,788,1435,India,IPS
192.168.100.10,HTTPS,Zero-Day,2025-02-12 10:46:52,27,443,Critical,605,559,China,SIEM
8.8.8.8,ICMP,DDoS,2025-02-12 10:46:52,433,0,Critical,979,1365,Germany,IPS
203.0.113.4,SSH,Unauthorized Access,2025-02-12 10:46:52,153,22,High,75,497,Russia,Firewall
172.16.5.3,ICMP,Ping Flood,2025-02-12 10:46:52,234,0,Medium,583,1165,Brazil,IPS
10.0.0.2,HTTP,SQL Injection,2025-02-12 10:46:52,82,80,High,138,546,Brazil,SIEM
172.16.5.3,FTP,Brute Force,2025-02-12 10:46:52,238,21,High,79,209,USA,Firewall
172.16.5.3,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,62,80,Medium,116,423,India,SIEM
172.16.5.3,HTTPS,Zero-Day,2025-02-12 10:46:52,43,443,Critical,231,1165,UK,SIEM
10.0.0.2,DNS,DNS Amplification,2025-02-12 10:46:52,383,53,High,1254,1276,France,IPS
172.20.30.40,UDP,Malware,2025-02-12 10:46:52,170,53,High,248,649,Japan,Antivirus
10.0.0.2,HTTPS,Zero-Day,2025-02-12 10:46:52,31,443,Critical,297,740,India,SIEM
10.10.10.10,ICMP,DDoS,2025-02-12 10:46:52,442,0,Critical,705,1382,Germany,IPS
192.168.100.10,DNS,DNS Spoofing,2025-02-12 10:46:52,42,53,Medium,137,294,Brazil,IDS
8.8.8.8,ICMP,DDoS,2025-02-12 10:46:52,112,0,Critical,692,1410,Germany,IPS
172.16.5.3,ICMP,Ping Flood,2025-02-12 10:46:52,295,0,Medium,729,1078,Germany,IPS
172.16.5.3,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,73,443,Critical,527,1196,Germany,Firewall
8.8.8.8,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,47,80,Medium,67,382,Russia,SIEM
10.0.0.2,HTTPS,Zero-Day,2025-02-12 10:46:52,10,443,Critical,482,912,USA,SIEM
10.10.10.10,TCP,Brute Force,2025-02-12 10:46:52,164,25,High,18,252,Canada,Firewall
172.20.30.40,DNS,DNS Amplification,2025-02-12 10:46:52,318,53,High,1232,1302,France,IPS
192.0.2.6,UDP,Malware,2025-02-12 10:46:52,170,53,High,98,872,Russia,Antivirus
8.8.8.8,SSH,Unauthorized Access,2025-02-12 10:46:52,99,22,High,103,686,Canada,Firewall
192.168.1.1,DNS,DNS Spoofing,2025-02-12 10:46:52,57,53,Medium,48,466,Japan,IDS
192.168.1.1,UDP,DDoS,2025-02-12 10:46:52,362,53,Critical,1161,1317,India,IPS
192.168.1.1,ICMP,DDoS,2025-02-12 10:46:52,485,0,Critical,1204,1448,Canada,IPS
192.0.2.6,SSH,Brute Force,2025-02-12 10:46:52,290,22,High,78,481,Canada,Firewall
192.168.100.10,FTP,Brute Force,2025-02-12 10:46:52,135,21,High,15,482,India,Firewall
192.168.1.1,TCP,Port Scanning,2025-02-12 10:46:52,97,25,Medium,70,412,China,IDS
192.168.100.10,DNS,DNS Amplification,2025-02-12 10:46:52,439,53,High,439,1141,France,IPS
10.10.10.10,SSH,Unauthorized Access,2025-02-12 10:46:52,78,22,High,47,664,Germany,Firewall
10.10.10.10,FTP,Malware,2025-02-12 10:46:52,37,21,High,343,761,UK,Antivirus
10.0.0.2,HTTPS,Zero-Day,2025-02-12 10:46:52,20,443,Critical,103,411,Russia,SIEM
198.51.100.5,HTTP,SQL Injection,2025-02-12 10:46:52,131,80,High,142,636,Canada,SIEM
192.168.100.10,TCP,Port Scanning,2025-02-12 10:46:52,85,22,Medium,33,640,Germany,IDS
10.0.0.2,FTP,Brute Force,2025-02-12 10:46:52,147,21,High,70,255,UK,Firewall
10.0.0.2,DNS,DNS Amplification,2025-02-12 10:46:52,90,53,High,974,1200,UK,IPS
172.16.5.3,ICMP,DDoS,2025-02-12 10:46:52,123,0,Critical,1182,1380,USA,IPS
192.0.2.6,HTTP,SQL Injection,2025-02-12 10:46:52,20,80,High,105,402,France,SIEM
10.10.10.10,DNS,DNS Spoofing,2025-02-12 10:46:52,47,53,Medium,163,449,UK,IDS
172.16.5.3,ICMP,DDoS,2025-02-12 10:46:52,143,0,Critical,1809,1301,India,IPS
172.16.5.3,FTP,Brute Force,2025-02-12 10:46:52,196,21,High,100,469,India,Firewall
172.16.5.3,FTP,Brute Force,2025-02-12 10:46:52,234,21,High,33,278,Germany,Firewall
192.168.100.10,FTP,Brute Force,2025-02-12 10:46:52,80,21,High,77,218,France,Firewall
8.8.8.8,DNS,DNS Spoofing,2025-02-12 10:46:52,64,53,Medium,103,595,USA,IDS
172.16.5.3,TCP,Brute Force,2025-02-12 10:46:52,249,80,High,85,246,Canada,Firewall
172.20.30.40,UDP,DDoS,2025-02-12 10:46:52,308,53,Critical,1554,1444,USA,IPS
10.10.10.10,DNS,DNS Spoofing,2025-02-12 10:46:52,51,53,Medium,135,520,France,IDS
10.10.10.10,ICMP,DDoS,2025-02-12 10:46:52,432,0,Critical,713,1410,China,IPS
192.168.1.1,TCP,Port Scanning,2025-02-12 10:46:52,83,25,Medium,123,634,Japan,IDS
192.0.2.6,FTP,Malware,2025-02-12 10:46:52,176,21,High,232,1073,Japan,Antivirus
10.10.10.10,ICMP,DDoS,2025-02-12 10:46:52,115,0,Critical,1829,1373,USA,IPS
172.16.5.3,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,110,80,Medium,85,251,France,SIEM
8.8.8.8,ICMP,Ping Flood,2025-02-12 10:46:52,325,0,Medium,784,1495,China,IPS
192.0.2.6,FTP,Malware,2025-02-12 10:46:52,108,21,High,373,668,Germany,Antivirus
192.168.100.10,TCP,Brute Force,2025-02-12 10:46:52,232,443,High,78,289,Canada,Firewall
172.20.30.40,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,219,443,Critical,988,718,India,Firewall
10.10.10.10,TCP,Port Scanning,2025-02-12 10:46:52,80,25,Medium,59,223,Canada,IDS
172.16.5.3,TCP,Port Scanning,2025-02-12 10:46:52,46,21,Medium,141,636,UK,IDS
10.10.10.10,ICMP,Ping Flood,2025-02-12 10:46:52,232,0,Medium,416,1041,Canada,IPS
192.168.1.1,FTP,Brute Force,2025-02-12 10:46:52,217,21,High,20,341,India,Firewall
192.168.1.1,SSH,Brute Force,2025-02-12 10:46:52,155,22,High,26,492,Germany,Firewall
8.8.8.8,HTTP,SQL Injection,2025-02-12 10:46:52,114,80,High,191,775,Japan,SIEM
192.0.2.6,FTP,Brute Force,2025-02-12 10:46:52,213,21,High,90,284,Brazil,Firewall
172.20.30.40,SSH,Unauthorized Access,2025-02-12 10:46:52,59,22,High,57,507,Russia,Firewall
192.168.100.10,SSH,Brute Force,2025-02-12 10:46:52,237,22,High,74,264,USA,Firewall
192.168.100.10,FTP,Brute Force,2025-02-12 10:46:52,183,21,High,51,262,USA,Firewall
172.16.5.3,TCP,DDoS,2025-02-12 10:46:52,406,22,Critical,1095,1229,Japan,IPS
172.16.5.3,SSH,Brute Force,2025-02-12 10:46:52,129,22,High,60,374,France,Firewall
192.168.1.1,UDP,DDoS,2025-02-12 10:46:52,162,123,Critical,1738,1395,China,IPS
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,94,123,High,91,1109,USA,Antivirus
192.0.2.6,DNS,DNS Spoofing,2025-02-12 10:46:52,22,53,Medium,124,313,Russia,IDS
203.0.113.4,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,114,80,Medium,154,407,India,SIEM
8.8.8.8,TCP,Port Scanning,2025-02-12 10:46:52,42,22,Medium,127,398,Brazil,IDS
192.0.2.6,TCP,Brute Force,2025-02-12 10:46:52,291,80,High,34,345,USA,Firewall
172.20.30.40,DNS,DNS Spoofing,2025-02-12 10:46:52,73,53,Medium,138,394,Germany,IDS
192.0.2.6,HTTP,SQL Injection,2025-02-12 10:46:52,96,80,High,57,626,UK,SIEM
172.20.30.40,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,176,443,Critical,342,1282,Russia,Firewall
172.20.30.40,ICMP,DDoS,2025-02-12 10:46:52,188,0,Critical,1407,1356,UK,IPS
192.168.100.10,SSH,Unauthorized Access,2025-02-12 10:46:52,158,22,High,207,573,India,Firewall
8.8.8.8,TCP,Port Scanning,2025-02-12 10:46:52,19,25,Medium,100,606,France,IDS
172.20.30.40,DNS,DNS Spoofing,2025-02-12 10:46:52,71,53,Medium,142,321,Germany,IDS
8.8.8.8,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,182,443,Critical,659,587,USA,Firewall
172.20.30.40,DNS,DNS Amplification,2025-02-12 10:46:52,256,53,High,372,1317,India,IPS
203.0.113.4,FTP,Brute Force,2025-02-12 10:46:52,227,21,High,38,438,USA,Firewall
198.51.100.5,FTP,Brute Force,2025-02-12 10:46:52,225,21,High,60,381,India,Firewall
192.0.2.6,UDP,Malware,2025-02-12 10:46:52,52,123,High,323,945,UK,Antivirus
172.16.5.3,DNS,DNS Amplification,2025-02-12 10:46:52,433,53,High,1136,1068,India,IPS
10.0.0.2,SSH,Unauthorized Access,2025-02-12 10:46:52,38,22,High,156,660,Russia,Firewall
192.168.1.1,DNS,DNS Spoofing,2025-02-12 10:46:52,32,53,Medium,139,306,Brazil,IDS
10.0.0.2,FTP,Malware,2025-02-12 10:46:52,200,21,High,62,561,Russia,Antivirus
172.16.5.3,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,162,443,Critical,888,1496,Japan,Firewall
10.10.10.10,HTTPS,Zero-Day,2025-02-12 10:46:52,17,443,Critical,323,484,Canada,SIEM
8.8.8.8,UDP,DDoS,2025-02-12 10:46:52,152,53,Critical,1926,1307,USA,IPS
203.0.113.4,DNS,DNS Spoofing,2025-02-12 10:46:52,43,53,Medium,39,473,Japan,IDS
192.0.2.6,FTP,Brute Force,2025-02-12 10:46:52,211,21,High,48,477,China,Firewall
10.10.10.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,129,443,Critical,925,807,China,Firewall
8.8.8.8,DNS,DNS Spoofing,2025-02-12 10:46:52,42,53,Medium,65,347,USA,IDS
172.20.30.40,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,100,80,Medium,128,448,France,SIEM
203.0.113.4,ICMP,DDoS,2025-02-12 10:46:52,222,0,Critical,1202,1398,France,IPS
192.168.100.10,ICMP,Ping Flood,2025-02-12 10:46:52,345,0,Medium,754,1479,China,IPS
10.10.10.10,ICMP,DDoS,2025-02-12 10:46:52,397,0,Critical,814,1208,Canada,IPS
192.168.100.10,DNS,DNS Spoofing,2025-02-12 10:46:52,44,53,Medium,182,450,USA,IDS
172.16.5.3,HTTP,SQL Injection,2025-02-12 10:46:52,39,80,High,254,435,USA,SIEM
172.16.5.3,TCP,DDoS,2025-02-12 10:46:52,208,22,Critical,1329,1334,France,IPS
192.0.2.6,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,112,443,Critical,659,1186,UK,Firewall
192.0.2.6,SSH,Brute Force,2025-02-12 10:46:52,97,22,High,34,452,USA,Firewall
192.168.100.10,UDP,Malware,2025-02-12 10:46:52,179,68,High,364,832,France,Antivirus
192.168.100.10,UDP,Malware,2025-02-12 10:46:52,199,68,High,124,781,Russia,Antivirus
198.51.100.5,TCP,Port Scanning,2025-02-12 10:46:52,16,22,Medium,114,247,China,IDS
10.0.0.2,FTP,Malware,2025-02-12 10:46:52,61,21,High,375,916,France,Antivirus
192.168.100.10,FTP,Malware,2025-02-12 10:46:52,121,21,High,203,1173,China,Antivirus
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,97,123,High,264,1015,Germany,Antivirus
172.16.5.3,HTTP,SQL Injection,2025-02-12 10:46:52,32,80,High,276,589,Japan,SIEM
10.0.0.2,TCP,Port Scanning,2025-02-12 10:46:52,49,80,Medium,51,343,China,IDS
172.20.30.40,FTP,Malware,2025-02-12 10:46:52,65,21,High,288,1090,India,Antivirus
198.51.100.5,FTP,Brute Force,2025-02-12 10:46:52,61,21,High,82,400,Russia,Firewall
198.51.100.5,HTTP,SQL Injection,2025-02-12 10:46:52,86,80,High,50,397,Russia,SIEM
172.20.30.40,UDP,DDoS,2025-02-12 10:46:52,431,53,Critical,1053,1281,India,IPS
172.16.5.3,SSH,Unauthorized Access,2025-02-12 10:46:52,138,22,High,65,366,Brazil,Firewall
172.16.5.3,ICMP,DDoS,2025-02-12 10:46:52,268,0,Critical,1307,1236,China,IPS
192.0.2.6,DNS,DNS Amplification,2025-02-12 10:46:52,376,53,High,322,1217,India,IPS
8.8.8.8,FTP,Brute Force,2025-02-12 10:46:52,134,21,High,79,364,USA,Firewall
198.51.100.5,TCP,Brute Force,2025-02-12 10:46:52,123,443,High,62,315,Germany,Firewall
10.10.10.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,43,443,Critical,455,1331,India,Firewall
192.168.1.1,TCP,DDoS,2025-02-12 10:46:52,348,21,Critical,697,1241,China,IPS
198.51.100.5,DNS,DNS Amplification,2025-02-12 10:46:52,372,53,High,878,1254,France,IPS
10.0.0.2,FTP,Malware,2025-02-12 10:46:52,65,21,High,327,766,India,Antivirus
198.51.100.5,ICMP,Ping Flood,2025-02-12 10:46:52,252,0,Medium,574,1237,Brazil,IPS
172.20.30.40,DNS,DNS Amplification,2025-02-12 10:46:52,207,53,High,932,1433,France,IPS
198.51.100.5,DNS,DNS Amplification,2025-02-12 10:46:52,440,53,High,1083,1233,USA,IPS
10.0.0.2,ICMP,DDoS,2025-02-12 10:46:52,486,0,Critical,1770,1293,Brazil,IPS
10.10.10.10,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,24,80,Medium,184,560,India,SIEM
172.16.5.3,ICMP,Ping Flood,2025-02-12 10:46:52,205,0,Medium,690,1211,India,IPS
192.168.100.10,FTP,Malware,2025-02-12 10:46:52,133,21,High,292,600,USA,Antivirus
10.10.10.10,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,98,80,Medium,197,507,India,SIEM
172.20.30.40,ICMP,Ping Flood,2025-02-12 10:46:52,332,0,Medium,306,1337,UK,IPS
10.0.0.2,SSH,Brute Force,2025-02-12 10:46:52,166,22,High,23,301,UK,Firewall
8.8.8.8,ICMP,DDoS,2025-02-12 10:46:52,112,0,Critical,996,1467,China,IPS
172.16.5.3,ICMP,DDoS,2025-02-12 10:46:52,327,0,Critical,1724,1215,Brazil,IPS
192.0.2.6,ICMP,Ping Flood,2025-02-12 10:46:52,286,0,Medium,247,1270,UK,IPS
192.168.1.1,TCP,DDoS,2025-02-12 10:46:52,144,22,Critical,1445,1209,Germany,IPS
8.8.8.8,FTP,Malware,2025-02-12 10:46:52,78,21,High,229,709,UK,Antivirus
172.20.30.40,SSH,Unauthorized Access,2025-02-12 10:46:52,94,22,High,140,655,Canada,Firewall
10.0.0.2,ICMP,DDoS,2025-02-12 10:46:52,242,0,Critical,1301,1346,Canada,IPS
192.168.100.10,SSH,Unauthorized Access,2025-02-12 10:46:52,120,22,High,136,205,Brazil,Firewall
192.0.2.6,ICMP,Ping Flood,2025-02-12 10:46:52,155,0,Medium,219,1032,Japan,IPS
203.0.113.4,UDP,DDoS,2025-02-12 10:46:52,424,67,Critical,1334,1444,USA,IPS
192.168.100.10,UDP,Malware,2025-02-12 10:46:52,136,53,High,300,1124,UK,Antivirus
192.168.1.1,TCP,Brute Force,2025-02-12 10:46:52,145,443,High,53,221,France,Firewall
10.10.10.10,TCP,Port Scanning,2025-02-12 10:46:52,49,80,Medium,43,216,USA,IDS
192.168.100.10,TCP,DDoS,2025-02-12 10:46:52,326,80,Critical,960,1485,Japan,IPS
192.168.1.1,ICMP,Ping Flood,2025-02-12 10:46:52,176,0,Medium,265,1014,India,IPS
172.20.30.40,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,27,80,Medium,151,251,France,SIEM
192.0.2.6,FTP,Malware,2025-02-12 10:46:52,31,21,High,288,938,USA,Antivirus
203.0.113.4,TCP,Brute Force,2025-02-12 10:46:52,107,80,High,29,455,Japan,Firewall
192.0.2.6,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,62,80,Medium,132,544,India,SIEM
172.20.30.40,FTP,Brute Force,2025-02-12 10:46:52,171,21,High,27,208,Japan,Firewall
203.0.113.4,UDP,DDoS,2025-02-12 10:46:52,130,68,Critical,1134,1276,Brazil,IPS
10.10.10.10,HTTP,SQL Injection,2025-02-12 10:46:52,95,80,High,156,915,Russia,SIEM
10.0.0.2,FTP,Brute Force,2025-02-12 10:46:52,273,21,High,32,403,UK,Firewall
192.168.1.1,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,26,80,Medium,165,206,India,SIEM
203.0.113.4,ICMP,DDoS,2025-02-12 10:46:52,490,0,Critical,749,1349,France,IPS
192.168.100.10,DNS,DNS Spoofing,2025-02-12 10:46:52,85,53,Medium,79,574,Russia,IDS
192.0.2.6,TCP,DDoS,2025-02-12 10:46:52,427,80,Critical,1379,1303,Japan,IPS
192.168.1.1,DNS,DNS Spoofing,2025-02-12 10:46:52,91,53,Medium,48,457,China,IDS
10.0.0.2,UDP,Malware,2025-02-12 10:46:52,157,53,High,152,595,Brazil,Antivirus
172.16.5.3,FTP,Brute Force,2025-02-12 10:46:52,79,21,High,19,416,India,Firewall
203.0.113.4,HTTPS,Zero-Day,2025-02-12 10:46:52,42,443,Critical,586,790,France,SIEM
192.168.100.10,TCP,Brute Force,2025-02-12 10:46:52,107,443,High,27,479,USA,Firewall
203.0.113.4,TCP,DDoS,2025-02-12 10:46:52,349,443,Critical,1081,1455,Germany,IPS
10.0.0.2,SSH,Brute Force,2025-02-12 10:46:52,144,22,High,72,452,Germany,Firewall
192.168.100.10,DNS,DNS Amplification,2025-02-12 10:46:52,121,53,High,1276,1427,Canada,IPS
172.20.30.40,SSH,Brute Force,2025-02-12 10:46:52,117,22,High,94,217,UK,Firewall
192.168.1.1,FTP,Malware,2025-02-12 10:46:52,118,21,High,367,1088,Russia,Antivirus
10.10.10.10,DNS,DNS Amplification,2025-02-12 10:46:52,126,53,High,620,1255,UK,IPS
172.20.30.40,TCP,Port Scanning,2025-02-12 10:46:52,29,22,Medium,98,617,India,IDS
10.10.10.10,SSH,Brute Force,2025-02-12 10:46:52,180,22,High,77,342,Germany,Firewall
8.8.8.8,ICMP,Ping Flood,2025-02-12 10:46:52,103,0,Medium,248,1052,Japan,IPS
192.168.100.10,SSH,Unauthorized Access,2025-02-12 10:46:52,172,22,High,167,549,China,Firewall
192.168.100.10,TCP,DDoS,2025-02-12 10:46:52,200,25,Critical,648,1344,USA,IPS
172.16.5.3,ICMP,Ping Flood,2025-02-12 10:46:52,80,0,Medium,419,1318,Germany,IPS
192.0.2.6,UDP,Malware,2025-02-12 10:46:52,96,67,High,380,635,Japan,Antivirus
10.10.10.10,TCP,DDoS,2025-02-12 10:46:52,298,443,Critical,731,1202,Germany,IPS
172.20.30.40,FTP,Malware,2025-02-12 10:46:52,99,21,High,119,866,Japan,Antivirus
192.168.1.1,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,84,80,Medium,196,496,China,SIEM
198.51.100.5,DNS,DNS Spoofing,2025-02-12 10:46:52,80,53,Medium,36,406,UK,IDS
10.0.0.2,DNS,DNS Spoofing,2025-02-12 10:46:52,51,53,Medium,71,367,Brazil,IDS
10.0.0.2,DNS,DNS Spoofing,2025-02-12 10:46:52,31,53,Medium,80,212,Germany,IDS
198.51.100.5,FTP,Malware,2025-02-12 10:46:52,192,21,High,180,641,UK,Antivirus
192.168.1.1,UDP,Malware,2025-02-12 10:46:52,71,53,High,59,659,Germany,Antivirus
172.16.5.3,ICMP,DDoS,2025-02-12 10:46:52,471,0,Critical,1542,1245,Japan,IPS
192.168.100.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,95,443,Critical,653,1257,Canada,Firewall
8.8.8.8,TCP,DDoS,2025-02-12 10:46:52,471,22,Critical,1064,1340,India,IPS
10.0.0.2,DNS,DNS Amplification,2025-02-12 10:46:52,450,53,High,927,1055,Canada,IPS
203.0.113.4,SSH,Unauthorized Access,2025-02-12 10:46:52,121,22,High,205,388,USA,Firewall
203.0.113.4,UDP,Malware,2025-02-12 10:46:52,167,68,High,161,838,Russia,Antivirus
198.51.100.5,TCP,Port Scanning,2025-02-12 10:46:52,33,25,Medium,27,326,Russia,IDS
192.168.100.10,UDP,DDoS,2025-02-12 10:46:52,345,53,Critical,1562,1342,Brazil,IPS
198.51.100.5,FTP,Brute Force,2025-02-12 10:46:52,191,21,High,44,495,Germany,Firewall
192.0.2.6,ICMP,DDoS,2025-02-12 10:46:52,336,0,Critical,1672,1264,China,IPS
10.10.10.10,TCP,Port Scanning,2025-02-12 10:46:52,24,25,Medium,138,209,Russia,IDS
172.16.5.3,DNS,DNS Spoofing,2025-02-12 10:46:52,63,53,Medium,44,426,India,IDS
10.0.0.2,DNS,DNS Amplification,2025-02-12 10:46:52,244,53,High,936,1316,India,IPS
10.10.10.10,DNS,DNS Spoofing,2025-02-12 10:46:52,51,53,Medium,97,246,Japan,IDS
8.8.8.8,TCP,Brute Force,2025-02-12 10:46:52,92,22,High,79,481,USA,Firewall
172.20.30.40,TCP,DDoS,2025-02-12 10:46:52,429,443,Critical,1381,1218,Japan,IPS
8.8.8.8,HTTPS,Zero-Day,2025-02-12 10:46:52,45,443,Critical,377,1072,Japan,SIEM
192.0.2.6,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,46,80,Medium,189,455,UK,SIEM
192.0.2.6,SSH,Brute Force,2025-02-12 10:46:52,120,22,High,11,476,UK,Firewall
192.168.1.1,DNS,DNS Amplification,2025-02-12 10:46:52,340,53,High,1399,1002,Germany,IPS
192.168.100.10,SSH,Brute Force,2025-02-12 10:46:52,227,22,High,62,318,Japan,Firewall
172.20.30.40,ICMP,Ping Flood,2025-02-12 10:46:52,82,0,Medium,577,1437,UK,IPS
8.8.8.8,HTTP,SQL Injection,2025-02-12 10:46:52,98,80,High,190,536,Brazil,SIEM
203.0.113.4,ICMP,DDoS,2025-02-12 10:46:52,249,0,Critical,1452,1365,France,IPS
203.0.113.4,FTP,Malware,2025-02-12 10:46:52,182,21,High,117,961,Brazil,Antivirus
10.0.0.2,DNS,DNS Amplification,2025-02-12 10:46:52,315,53,High,1141,1217,UK,IPS
203.0.113.4,HTTPS,Zero-Day,2025-02-12 10:46:52,7,443,Critical,707,789,India,SIEM
172.20.30.40,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,44,80,Medium,79,486,Russia,SIEM
10.10.10.10,FTP,Brute Force,2025-02-12 10:46:52,63,21,High,64,300,USA,Firewall
198.51.100.5,DNS,DNS Spoofing,2025-02-12 10:46:52,33,53,Medium,108,567,France,IDS
203.0.113.4,HTTP,SQL Injection,2025-02-12 10:46:52,43,80,High,223,539,China,SIEM
192.168.100.10,UDP,Malware,2025-02-12 10:46:52,189,67,High,269,1162,Brazil,Antivirus
172.16.5.3,DNS,DNS Spoofing,2025-02-12 10:46:52,23,53,Medium,173,535,Japan,IDS
10.10.10.10,HTTP,SQL Injection,2025-02-12 10:46:52,107,80,High,135,573,Brazil,SIEM
172.16.5.3,TCP,DDoS,2025-02-12 10:46:52,305,80,Critical,1560,1336,UK,IPS
172.20.30.40,ICMP,DDoS,2025-02-12 10:46:52,361,0,Critical,1985,1222,France,IPS
10.10.10.10,HTTPS,Zero-Day,2025-02-12 10:46:52,30,443,Critical,752,1091,USA,SIEM
192.168.100.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,220,443,Critical,342,683,France,Firewall
192.168.100.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,233,443,Critical,995,823,Russia,Firewall
172.16.5.3,ICMP,Ping Flood,2025-02-12 10:46:52,277,0,Medium,202,1101,Japan,IPS
10.0.0.2,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,82,80,Medium,192,348,Canada,SIEM
172.20.30.40,TCP,Brute Force,2025-02-12 10:46:52,273,25,High,93,380,Brazil,Firewall
192.168.100.10,FTP,Brute Force,2025-02-12 10:46:52,246,21,High,99,219,Germany,Firewall
192.168.100.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,64,443,Critical,869,993,China,Firewall
192.168.1.1,SSH,Unauthorized Access,2025-02-12 10:46:52,119,22,High,155,636,Russia,Firewall
192.168.100.10,FTP,Malware,2025-02-12 10:46:52,88,21,High,278,1116,China,Antivirus
10.10.10.10,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,20,80,Medium,37,253,Japan,SIEM
203.0.113.4,SSH,Unauthorized Access,2025-02-12 10:46:52,172,22,High,86,667,Russia,Firewall
203.0.113.4,SSH,Brute Force,2025-02-12 10:46:52,77,22,High,100,202,UK,Firewall
192.168.100.10,HTTP,Cross-Site Scripting,2025-02-12 10:46:52,13,80,Medium,58,413,China,SIEM
10.0.0.2,HTTPS,Zero-Day,2025-02-12 10:46:52,8,443,Critical,574,963,Brazil,SIEM
198.51.100.5,FTP,Malware,2025-02-12 10:46:52,168,21,High,110,1119,China,Antivirus
10.0.0.2,DNS,DNS Amplification,2025-02-12 10:46:52,341,53,High,791,1373,France,IPS
10.10.10.10,FTP,Brute Force,2025-02-12 10:46:52,102,21,High,48,489,China,Firewall
172.16.5.3,UDP,DDoS,2025-02-12 10:46:52,240,123,Critical,1232,1389,USA,IPS
192.0.2.6,ICMP,DDoS,2025-02-12 10:46:52,337,0,Critical,730,1210,USA,IPS
8.8.8.8,ICMP,DDoS,2025-02-12 10:46:52,251,0,Critical,998,1262,China,IPS
10.10.10.10,FTP,Malware,2025-02-12 10:46:52,187,21,High,350,898,Canada,Antivirus
203.0.113.4,DNS,DNS Spoofing,2025-02-12 10:46:52,43,53,Medium,163,265,USA,IDS
192.168.1.1,UDP,DDoS,2025-02-12 10:46:52,229,53,Critical,845,1474,Brazil,IPS
192.168.100.10,DNS,DNS Spoofing,2025-02-12 10:46:52,64,53,Medium,153,319,UK,IDS
192.0.2.6,SSH,Unauthorized Access,2025-02-12 10:46:52,147,22,High,94,309,China,Firewall
10.10.10.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,184,443,Critical,684,541,USA,Firewall
10.0.0.2,SSH,Brute Force,2025-02-12 10:46:52,63,22,High,29,416,UK,Firewall
192.168.100.10,DNS,DNS Spoofing,2025-02-12 10:46:52,43,53,Medium,170,478,France,IDS
10.10.10.10,ICMP,DDoS,2025-02-12 10:46:52,236,0,Critical,1475,1337,Canada,IPS
